AL011851, UNNAMED,       7,
18510625,0000, ,TD,28.0N, 94.8W,  35, 1006,  0,  0,  0,  0,
18510625,0600, ,TD,28.3N, 95.4W,  35, 1006,  0,  0,  0,  0,
18510625,1200, ,TS,28.7N, 96.1W,  45, 1004,  0,  0,  0,  0,
18510625,1800, ,TS,29.1N, 96.7W,  45, 1002,  0,  0,  0,  0,
18510626,0000, ,TS,29.5N, 97.3W,  40, 1004,  0,  0,  0,  0,
18510626,0600, ,TD,29.9N, 97.8W,  30, 1008,  0,  0,  0,  0,
18510626,1200, ,TD,30.3N, 98.1W,  25, 1011,  0,  0,  0,  0,

AL021851, UNNAMED,       9,
18510705,0000, ,TS,26.0N,  91.0W,  45, 1006,  0,  0,  0,  0,
18510705,0600, ,TS,26.7N,  91.8W,  50, 1004,  0,  0,  0,  0,
18510705,1200, ,TS,27.5N,  92.6W,  55, 1002,  0,  0,  0,  0,
18510705,1800, ,TS,28.3N,  93.4W,  60,  998,  0,  0,  0,  0,
18510706,0000, ,H1,29.1N,  94.2W,  70,  994,  0,  0,  0,  0,
18510706,0600, ,H1,30.0N,  94.9W,  65,  996,  0,  0,  0,  0,
18510706,1200, ,TS,30.9N,  95.5W,  50, 1002,  0,  0,  0,  0,
18510706,1800, ,TD,31.8N,  95.9W,  35, 1008,  0,  0,  0,  0,
18510707,0000, ,TD,32.5N,  96.0W,  25, 1012,  0,  0,  0,  0,
